-2	0
-1.92	0
-1.84	0
-1.76	0
-1.68	0
-1.6	0
-1.52	0
-1.44	0
-1.36	0
-1.28	0
-1.2	0
-1.12	0
-1.04	0.0096375
-0.96	0.0757625
-0.88	0.144788
-0.8	0.214337
-0.72	0.2685
-0.64	0.318563
-0.56	0.364287
-0.48	0.404162
-0.4	0.437638
-0.32	0.456987
-0.24	0.478388
-0.16	0.4911
-0.08	0.502587
0	0.50175
0.08	0.492225
0.16	0.4767
0.24	0.461575
0.32	0.438725
0.4	0.401338
0.48	0.365825
0.56	0.31915
0.64	0.270325
0.72	0.216113
0.8	0.14435
0.88	0.07785
0.96	0.00985
1.04	0
1.12	0
1.2	0
1.28	0
1.36	0
1.44	0
1.52	0
1.6	0
1.68	0
1.76	0
1.84	0
1.92	0
